Word,Frequency
אִשְׁתּ֔וֹ,7
וַתַּ֖הַר,4
חֲנ֑וֹךְ,2
בֹּ֣נֶה,1
עִ֔יר,2
וַיִּקְרָא֙,8
שֵׁ֣ם,10
הָעִ֔יר,5
כְּשֵׁ֖ם,1
בְּנ֥וֹ,3
חֲנֽוֹךְ,2
וַיִּוָּלֵ֤ד,1
לַֽחֲנוֹךְ֙,1
עִירָ֔ד,1
וְעִירָ֕ד,1
יָלַ֖ד,1
מְחֽוּיָאֵ֑ל,1
וּמְחִיּיָאֵ֗ל,1
יָלַד֙,1
מְת֣וּשָׁאֵ֔ל,1
וּמְתוּשָׁאֵ֖ל,1
יָלַ֥ד,2
לָֽמֶךְ,2
וַיִּֽקַּֽח,4
ל֥וֹ,29
לֶ֖מֶךְ,1
שְׁתֵּ֣י,35
נָשִׁ֑ים,2
שֵׁ֤ם,5
הָֽאַחַת֙,3
עָדָ֔ה,1
וְשֵׁ֥ם,12
הַשֵּׁנִ֖ית,6
צִלָּֽה,1
וַתֵּ֥לֶד,7
עָדָ֖ה,2
יָבָ֑ל,1
הָיָ֔ה,6
